dataset_name,fold,classifier,exp_type,explainer,acc_m1,acc_m2
heloc,2,neural_network,Architecture,"('dice', 'base')",0.7337386018237082,"[0.6890577507598784, 0.7179331306990882, 0.7173252279635258, 0.7331306990881459, 0.6890577507598784, 0.6832826747720365, 0.7343465045592705, 0.7212765957446808, 0.7337386018237082, 0.7300911854103344]"
heloc,0,neural_network,Weights,"('roar', 'e2e')",0.7307809176542085,"[0.6630203585536311, 0.7125493770890307, 0.7164995442114859, 0.7228805834092981, 0.7243998784563962, 0.7207535703433606, 0.7240960194469767, 0.7213612883621999, 0.7143725311455484, 0.7374658158614403]"
heloc,0,neural_network,Weights,"('face', 'base')",0.718930416286843,"[0.6642357945913097, 0.6800364630811303, 0.7292616226071102, 0.6870252202977818, 0.7265268915223336, 0.7107262230325129, 0.7292616226071102, 0.7089030689759951, 0.7070799149194774, 0.7082953509571559]"
heloc,1,neural_network,Weights,"('roar', 'e2e')",0.7167173252279635,"[0.6276595744680851, 0.6519756838905775, 0.7021276595744681, 0.682370820668693, 0.6838905775075987, 0.7024316109422493, 0.6924012158054711, 0.6948328267477204, 0.6939209726443769, 0.6960486322188449]"
heloc,1,neural_network,Weights,"('face', 'base')",0.6914893617021277,"[0.7139817629179331, 0.6075987841945288, 0.6975683890577508, 0.7012158054711246, 0.662613981762918, 0.70790273556231, 0.7015197568389058, 0.6440729483282674, 0.6799392097264437, 0.686322188449848]"
heloc,2,neural_network,Weights,"('roar', 'e2e')",0.7303951367781155,"[0.7045592705167173, 0.7200607902735562, 0.7151975683890578, 0.6875379939209726, 0.7167173252279635, 0.7240121580547112, 0.7395136778115502, 0.7173252279635258, 0.7139817629179331, 0.7246200607902735]"
heloc,2,neural_network,Weights,"('face', 'base')",0.7322188449848024,"[0.6838905775075987, 0.719452887537994, 0.7170212765957447, 0.7072948328267478, 0.7054711246200608, 0.7173252279635258, 0.6996960486322188, 0.7249240121580547, 0.7069908814589666, 0.7206686930091185]"
heloc,0,neural_network,Bootstrap,"('roar', 'e2e')",0.7216651473716196,"[0.7395928289273777, 0.7301731996353692, 0.7158918261926466, 0.736858097842601, 0.7374658158614403, 0.7289577635976907, 0.7216651473716196, 0.7128532360984503, 0.7301731996353692, 0.7134609541172896]"
heloc,0,neural_network,Bootstrap,"('face', 'base')",0.7128532360984503,"[0.7289577635976907, 0.7374658158614403, 0.7301731996353692, 0.736858097842601, 0.7216651473716196, 0.7301731996353692, 0.7158918261926466, 0.7128532360984503, 0.7134609541172896, 0.7395928289273777]"
heloc,1,neural_network,Bootstrap,"('roar', 'e2e')",0.7173252279635258,"[0.7054711246200608, 0.6948328267477204, 0.7218844984802432, 0.7091185410334346, 0.6869300911854104, 0.7322188449848024, 0.7173252279635258, 0.7197568389057751, 0.6996960486322188, 0.7167173252279635]"
